actor_ent,actor_logprob,actor_loss,batch_reward,buffer_size,critic_loss,critic_q1,critic_q2,critic_target_q,episode,episode_length,episode_reward,fps,frame,step,total_time
-0.3809988498687744,0.7761916275024414,0.1035802448540926,3.4329378519066195e-27,5000.0,0.00023196194446200024,-0.10214283899217844,-0.10222659689188003,-0.10223918928205968,5.0,1000.0,2.8312239501327444e-30,4.761805049882231,5000,5000.0,210.00440001487732
-0.3809988498687744,0.7955681149959564,0.08952956891059875,3.301947197451738e-27,6000.0,1.8936913433662994e-05,-0.08834715601801872,-0.08834655450284482,-0.08834582802653312,6.0,1000.0,2.1713783582066097e-68,16.595014030554058,6000,6000.0,270.26346492767334
-0.3809988498687744,0.695841340303421,0.0775485421717167,3.4066939351309615e-27,7000.0,2.9739235840224866e-05,-0.07645721235871315,-0.07645751714706421,-0.07645734769105911,7.0,1000.0,0.0002910141384252102,16.559278148025804,7000,7000.0,330.6525719165802
-0.3809988498687744,0.6077480043172836,0.066953578799963,9.986042543630446e-08,8000.0,8.674960218257866e-06,-0.06634161680936813,-0.06634313351660967,-0.06633961443603038,8.0,1000.0,4.09369390515109,16.65718651273783,8000,8000.0,390.68672132492065
-0.3809988498687744,0.8488101186752319,0.0429370807572268,0.0015383057757568394,9000.0,0.0010467878658579365,-0.04511734479665756,-0.045096802374348044,-0.045088941529393196,9.0,1000.0,3.391173034701913,16.665597229283428,9000,9000.0,450.6905725002289
-0.3809988498687744,0.8793396244049072,0.053302415257086976,0.0022982043719137727,10000.0,0.0031596861579855614,-0.05588833670504391,-0.05583280012640171,-0.055987987780943514,10.0,1000.0,3.894359553691232,16.671309638335792,10000,10000.0,510.67386388778687
-0.3809988498687744,0.9262283681631088,0.007748990438471082,0.0033589670037927136,11000.0,0.003745110291185483,-0.01431898619965068,-0.014323401695975917,-0.014266437822399895,11.0,1000.0,2.1126450656434,5.882330419369242,11000,11000.0,680.6745157241821
-0.3809988498687744,0.9913035951852799,-0.013105392090801615,0.003995160493223864,12000.0,0.0028581711201259167,0.009774238112790044,0.00977083959680749,0.009859200822771527,12.0,1000.0,14.029674953980003,16.718560735264884,12000,12000.0,740.4882779121399
-0.3809988498687744,0.9913225487470627,-0.03996461134834681,0.006594395227002678,13000.0,0.022481848180526866,0.03379165606130846,0.03377193124755286,0.033944463270250705,13.0,1000.0,0.0040062623807580085,16.753774721545504,13000,13000.0,800.1763210296631
-0.3809988498687744,0.9909596540927887,-0.18067909419653005,0.006500056093122111,14000.0,0.032931379442103205,0.16212493734899908,0.16211671515612397,0.1624100479565095,14.0,1000.0,8.885046569150095,16.755226976283588,14000,14000.0,859.8591902256012
-0.3809988498687744,0.9911627858877182,-0.326895546734333,0.008114365700836061,15000.0,0.029449928745627404,0.3104018194824457,0.3104071008861065,0.3104809986650944,15.0,1000.0,4.32961945283747e-06,16.7437369649136,15000,15000.0,919.583015203476
-0.3809988498687744,0.9919858869314194,-0.36309736442565915,0.008056397217791528,16000.0,0.026453816642984747,0.3536273984611034,0.35364233994483946,0.35381646136939526,16.0,1000.0,22.70994818683709,16.808653156764485,16000,16000.0,979.0761828422546
-0.3809988498687744,0.9918741697072982,-0.460865035623312,0.010798234247253277,17000.0,0.03933354363031685,0.43622768265008927,0.4362031820118427,0.4363846524953842,17.0,1000.0,14.937907209242015,16.677397373884396,17000,17000.0,1039.0375785827637
-0.3809988498687744,0.9907837836742401,-0.6742988278567791,0.013048045102681498,18000.0,0.08692468859255315,0.6211195790469647,0.6210842280089856,0.6214416647851467,18.0,1000.0,0.0015131946866207024,16.767147864256245,18000,18000.0,1098.6780152320862
-0.3809988498687744,0.9922282812595368,-0.8380304067134857,0.012547360974422191,19000.0,0.20153300650417805,0.7817735801935196,0.7818004079759121,0.7823660285770893,19.0,1000.0,2.1507354231462017,16.60200514491069,19000,19000.0,1158.9117045402527
-0.3809988498687744,0.9902413731813431,-0.9295736455321312,0.013066118028364144,20000.0,0.27174334801360966,0.8802241470515728,0.8802470537126065,0.8808785545229911,20.0,1000.0,0.00022986537051741942,16.731498318586347,20000,20000.0,1218.6792166233063
-0.3809988498687744,0.9913037806749344,-1.0246718437969684,0.011196952542639338,21000.0,0.33800578087195754,0.987356838196516,0.9872699798643589,0.9877334242463112,21.0,1000.0,8.016502529767392e-05,5.97356910045118,21000,21000.0,1386.0833246707916
-0.3809988498687744,0.9913068774938584,-0.9844998825490475,0.010908470015390775,22000.0,0.3309829057082534,0.9589494689702988,0.958987466737628,0.9592663384079934,22.0,1000.0,4.3771492720795075,16.678686857533364,22000,22000.0,1446.04008436203
-0.3809988498687744,0.9911107121706009,-0.938682920217514,0.011108644176158122,23000.0,0.21706459309719503,0.917303447470069,0.9172702568769455,0.917305471226573,23.0,1000.0,4.3458004971971685e-06,16.753087332463245,23000,23000.0,1505.730575799942
-0.3809988498687744,0.991847182393074,-0.8835561140030622,0.010907025390304624,24000.0,0.15170854692347346,0.8641605322286486,0.8641233288869262,0.8641553806513548,24.0,1000.0,14.575992660900974,16.711579599963184,24000,24000.0,1565.569325208664
-0.3809988498687744,0.9910803802013397,-0.8741255807876587,0.01132695705545484,25000.0,0.10746557749807835,0.8602070366740227,0.8601913391649723,0.8603711985349655,25.0,1000.0,4.67056627556383e-12,16.806378091136178,25000,25000.0,1625.0705466270447
-0.3809988498687744,0.9905094068050384,-0.804574503839016,0.01188360665469736,26000.0,0.0697488170042634,0.7901649690568447,0.7901562767624855,0.7902108202576638,26.0,1000.0,6.711005656471499e-13,16.786444582919685,26000,26000.0,1684.6424238681793
-0.3809988498687744,0.9866070238351822,-0.8275674828588963,0.01106236180110136,27000.0,0.07414778635837138,0.7931743676066398,0.7931894823014736,0.7932306162714958,27.0,1000.0,2.1468577271572084e-10,16.61525672478334,27000,27000.0,1744.8280737400055
-0.3809988498687744,0.9801017088890076,-0.9506344993412494,0.010749015840992797,28000.0,0.08980734933912754,0.8991691209077836,0.8991409629881382,0.8993991722166538,28.0,1000.0,11.570323730822809,16.75840696732253,28000,28000.0,1804.4996178150177
-0.3809988498687744,0.9634821144342423,-1.224694526553154,0.011251341713999864,29000.0,0.11241406092047691,1.1640096385478973,1.1640273277759552,1.164370312333107,29.0,1000.0,0.15201927483574953,16.659408856992506,29000,29000.0,1864.5257585048676
-0.3809988498687744,0.9642654042243958,-1.526742204427719,0.011589175679320761,30000.0,0.09606514880806208,1.4391767276525498,1.4391603420972825,1.4395564614534377,30.0,1000.0,35.68436692423827,16.653650443502134,30000,30000.0,1924.5726549625397
-0.3809988498687744,0.9677247515916825,-1.6920590300559997,0.013814240235631587,31000.0,0.1012030384875834,1.613171340942383,1.6131744287014007,1.6135979433059693,31.0,1000.0,6.322387645285977e-67,5.992233057301137,31000,31000.0,2091.4553513526917
-0.3809988498687744,0.9705355653762817,-1.8362386026382447,0.014014198743971064,32000.0,0.10255096974968911,1.7536780619621277,1.7536869413852691,1.754015204668045,32.0,1000.0,2.9108848503791125e-62,16.80362605743095,32000,32000.0,2150.9663169384003
-0.3809988498687744,0.9714787251949311,-2.0051643612384797,0.013240514511198852,33000.0,0.09952883870899677,1.922076188325882,1.922076706647873,1.9224196789264678,33.0,1000.0,6.204965885992019e-64,16.71888934574396,33000,33000.0,2210.7789034843445
-0.3809988498687744,0.972271278500557,-2.12337575507164,0.013176620613856358,34000.0,0.10679578273743391,2.034896359682083,2.0348975646495817,2.0352663736343386,34.0,1000.0,1.7658426017734037,16.772015199350864,34000,34000.0,2270.402032136917
-0.3809988498687744,0.9737094279527664,-2.549599041938782,0.012479453045176342,35000.0,0.14058355049043894,2.455309725046158,2.455270182847977,2.455636669397354,35.0,1000.0,9.313072945060146,16.74978153282738,35000,35000.0,2330.1043043136597
-0.3809988498687744,0.9702474098205567,-2.6775579822063444,0.013340315762616229,36000.0,0.13092174725979566,2.5879029159545897,2.58791028380394,2.5882568027973174,36.0,1000.0,30.816330777083415,16.65740799278965,36000,36000.0,2390.1376552581787
-0.3809988498687744,0.967392834186554,-2.828505120754242,0.01538553205091739,37000.0,0.12686461977660657,2.740369741201401,2.7403850598335264,2.7405826807022096,37.0,1000.0,5.2926028206527755,16.777350084581876,37000,37000.0,2449.741825580597
-0.3809988498687744,0.9695006341934204,-2.8893969526290895,0.01577604355031508,38000.0,0.15250516203790904,2.7970307116508484,2.7970316519737244,2.7973387784957886,38.0,1000.0,25.2492935212546,16.798648791241387,38000,38000.0,2509.27042388916
-0.3809988498687744,0.9621710225343704,-2.9665338888168336,0.017273893456498626,39000.0,0.1779613760560751,2.8720387444496156,2.8720456595420836,2.8720760107040406,39.0,1000.0,23.992591933141192,16.757240765746563,39000,39000.0,2568.9461205005646
-0.3809988498687744,0.955970454454422,-3.0351510348320008,0.018368899061431875,40000.0,0.18232917319238187,2.9447489275932313,2.944752420902252,2.9450244941711428,40.0,1000.0,21.986631998535476,16.74338745905707,40000,40000.0,2628.671191930771
